公司,关系大类,命中关键词,来源平台,新闻标题,媒体,发布日期,链接,摘要,正文
恒瑞医药,其他,,jrj,恒瑞医药(01276)6月5日斥资945.37万元回购20万股A股,智通财经网,2026-06-05,https://finance.jrj.com.cn/2026/06/05163657354837.shtml,,智通财经APP讯，恒瑞医药(01276)发布公告，于2026年6月5日该公司斥资人民币945.37万元回购20万股A股，回购价格为每股人民币47.05-47.45元。
恒瑞医药,其他,,jrj,恒瑞医药(01276.HK)6月4日耗资1982.37万元回购42万股A股,格隆汇,2026-06-04,https://finance.jrj.com.cn/2026/06/04171957338250.shtml,,格隆汇6月4日丨恒瑞医药(01276.HK)发布公告，2026年6月4日耗资人民币1982.37万元回购42万股A股，每股回购价46.7-47.7元。
恒瑞医药,其他,,jrj,恒瑞医药(01276)：截至5月末公司累计回购A股股份1205.62万股,智通财经网,2026-06-02,https://finance.jrj.com.cn/2026/06/02171357308732.shtml,,"智通财经APP讯，恒瑞医药(01276)发布公告，2026年5月，公司通过上海证券交易所交易系统以集中竞价交易方式回购股份0股。截至2026年5月31日，公司本次股份回购方案累计通过上海证券交易所交易系统以集中竞价交易方式回购股份1,205.62万股，已回购股份占公司总股本的比例为"
恒瑞医药,其他,,jrj,恒瑞医药(600276.SH)：累计回购1205.62万股股份,格隆汇,2026-06-02,https://finance.jrj.com.cn/2026/06/02163357306751.shtml,,"格隆汇6月2日丨恒瑞医药(600276.SH)公布，截至2026年5月31日，公司本次股份回购方案累计通过上海证券交易所交易系统以集中竞价交易方式回购股份1,205.62万股，已回购股份占公司总股本的比例为0.18%，购买的最高价为人民币70.00元/股，最低价为人民币53.52元/股，已支付的总金"
恒瑞医药,其他,,jrj,盘前公告淘金：恒瑞医药1类创新药鲁兹诺雷钠片获批上市，晨光股份拟以5亿元至10亿元回购股份,金融界,2026-05-29,https://stock.jrj.com.cn/2026/05/29083157245799.shtml,,【重要事项】中国交建：2026年计划发起设立基金不超过123.1亿元恒瑞医药：1类创新药鲁兹诺雷钠片获批上市禾盛新材：拟定增募资不超1.9亿元，用于国产智能算力中心建设项目智翔金泰：与药友制药签署GR1803项目许可协议，总金额至高18.2亿元通合科技：拟募集不超5.22亿元
恒瑞医药,其他,,jrj,恒瑞医药(01276.HK)：“鲁兹诺雷钠片”获得药品注册批准,格隆汇,2026-05-28,https://finance.jrj.com.cn/2026/05/28215557244102.shtml,,格隆汇5月28日丨恒瑞医药(01276.HK)公告，近日，江苏恒瑞医药股份有限公司收到国家药品监督管理局的通知，批准公司自主研发的1类创新药鲁兹诺雷钠片(SHR4640片)上市，该产品是中国首个自主研发的新一代高选择性URAT1抑制剂。药品名称：鲁兹诺雷钠片剂型：片剂规格：1mg、
恒瑞医药,其他,,jrj,恒瑞医药(01276)：SHR4640片获得药品注册批准,智通财经网,2026-05-28,https://finance.jrj.com.cn/2026/05/28215157244422.shtml,,智通财经APP讯，恒瑞医药(01276)发布公告，近日，江苏恒瑞医药股份有限公司(以下简称“公司”)收到国家药品监督管理局(以下简称“国家药监局”)的通知，批准公司自主研发的1类创新药鲁兹诺雷钠片(SHR4640片)上市，该产品是中国首个自主研发的新一代高选择性 URAT1 抑制剂
恒瑞医药,其他,,jrj,恒瑞医药(01276)：SHR-1819注射液获得《药物临床试验批准通知书》,智通财经网,2026-05-28,https://finance.jrj.com.cn/2026/05/28214557244426.shtml,,智通财经APP讯，恒瑞医药(01276)发布公告，近日，江苏恒瑞医药股份有限公司(以下简称“公司”)子公司广东恒瑞医药有限公司收到国家药品监督管理局(以下简称“国家药监局”)核准签发关于 SHR-1819 注射液的《药物临床试验批准通知书》，将于近期开展临床试验。SHR-1819 注
恒瑞医药,其他,,jrj,恒瑞医药(600276.SH)2025年年度权益分派：每股派利0.2元,格隆汇,2026-05-20,https://finance.jrj.com.cn/2026/05/20182757156865.shtml,,"格隆汇5月20日丨恒瑞医药(600276.SH)公布2025年年度权益分派实施公告，本次利润分配以利润分配实施公告确定的股权登记日的A股总股本6,379,002,274股，扣除回购专用证券账户的股份6,896,450股，即以6,372,105,824股为基数，每股派发现金红利0.2元(含税)，共计派发现金红利1,274,421,164"
恒瑞医药,其他,,jrj,恒瑞医药(01276.HK)：子公司“ω-3甘油三酯(2%)中/长链脂肪乳/氨基酸(16)/葡萄糖(30%)注射液”获得药品注册批准,格隆汇,2026-05-19,https://finance.jrj.com.cn/2026/05/19182057146709.shtml,,格隆汇5月19日丨恒瑞医药(01276.HK)公告，近日，江苏恒瑞医药股份有限公司子公司福建盛迪医药有限公司收到国家药品监督管理局的通知，批准公司ω-3甘油三酯(2%)中/长链脂肪乳/氨基酸(16)/葡萄糖(30%)注射液上市。药品名称：ω-3甘油三酯(2%)中/长链脂肪乳/氨基酸(16)/葡萄糖(30
恒瑞医药,其他,,jrj,恒瑞医药(600276.SH)：ω-3甘油三酯(2%)中/长链脂肪乳/氨基酸(16)/葡萄糖(30%)注射液获批上市,智通财经网,2026-05-19,https://finance.jrj.com.cn/2026/05/19171357146071.shtml,,智通财经APP讯， 恒瑞医药(600276.SH)发布公告，近日，公司子公司福建盛迪医药有限公司收到国家药品监督管理局(以下简称“国家药监局”)的通知，批准公司ω-3甘油三酯(2%)中/长链脂肪乳/氨基酸(16)/葡萄糖(30%)注射液上市。ω-3甘油三酯(2%)中/长链脂肪乳/氨基酸(16)/葡萄糖(30%)
恒瑞医药,其他,,jrj,恒瑞医药(600276.SH)：获得药品注册批准,格隆汇,2026-05-19,https://finance.jrj.com.cn/2026/05/19170857145479.shtml,,"格隆汇5月19日丨恒瑞医药(600276.SH)公布，公司子公司福建盛迪医药有限公司收到国家药品监督管理局的通知，批准公司ω-3 
甘油三酯（2%）中/长链脂肪乳/氨基酸（16）/葡萄糖（30%）注射液上市。批准的适应症：当口服或肠内营养无法进行、不足或有禁忌时，本品为中重度分"
恒瑞医药,投资并购动态,增持,jrj,Schroders PLC增持恒瑞医药(01276)66.3万股 每股作价约68.7港元,智通财经网,2026-05-18,https://finance.jrj.com.cn/2026/05/18193857131675.shtml,,智通财经APP获悉，香港联交所最新数据显示，5月12日，Schroders PLC增持恒瑞医药(01276)66.3万股，每股作价68.7041港元，总金额约为4555.08万港元。增持后最新持股数目为1317.12万股，持股比例为5.1%。
恒瑞医药,投资并购动态,增持,jrj,恒瑞医药(01276.HK)获Schroders PLC增持66.3万股,格隆汇,2026-05-14,https://finance.jrj.com.cn/2026/05/14215357092870.shtml,,格隆汇5月14日丨根据联交所最新权益披露资料显示，2026年5月12日，恒瑞医药(01276.HK)获Schroders PLC在场内以每股均价68.7041港元增持66.3万股，涉资约4555.08万港元。增持后，Schroders PLC最新持股数目为1317.12万股，持股比例由4.84%上升至5.10%。
恒瑞医药,其他,,jrj,恒瑞医药(01276.HK)：“RSS0393乳胶”获药物临床试验批准,格隆汇,2026-05-14,https://finance.jrj.com.cn/2026/05/14201357092323.shtml,,格隆汇5月14日丨恒瑞医药(01276.HK)公告，近日，江苏恒瑞医药股份有限公司子公司瑞石生物医药有限公司收到国家药品监督管理局核准签发关于RSS0393乳胶的《药物临床试验批准通知书》，将于近期开展临床试验。药物名称：RSS0393乳胶剂 型：乳胶剂申请事项：临床试验受 理
恒瑞医药,其他,,jrj,恒瑞医药(01276.HK)：SHR-3079注射液获得临床试验批准,格隆汇,2026-05-14,https://finance.jrj.com.cn/2026/05/14164357090875.shtml,,格隆汇5月14日丨恒瑞医药(01276.HK)发布公告，近日，公司子公司苏州盛迪亚生物医药有限公司收到国家药监局核准签发关于SHR-3079注射液《药物临床试验批准通知书》，将于近期开展临床试验。SHR-3079注射液是公司自主研发的创新型抗肿瘤药物，拟用于治疗B细胞非霍奇金淋巴
恒瑞医药,其他,,jrj,恒瑞医药(600276.SH)：SHR-3079注射液获得药物临床试验批准通知书,格隆汇,2026-05-14,https://finance.jrj.com.cn/2026/05/14162957090720.shtml,,格隆汇5月14日丨恒瑞医药(600276.SH)公布，公司子公司苏州盛迪亚生物医药有限公司收到国家药品监督管理局核准签发关于SHR-3079注射液《药物临床试验批准通知书》，将于近期开展临床试验。SHR-3079注射液是公司自主研发的创新型抗肿瘤药物，拟用于治疗B细胞非霍奇金淋巴瘤
恒瑞医药,业务合作,合作,jrj,152亿美元！恒瑞医药(01276.HK)与BMS达成全球重磅合作 携手开发13款早期创新药,格隆汇,2026-05-12,https://finance.jrj.com.cn/2026/05/12120557070299.shtml,,格隆汇5月12日丨恒瑞医药(01276.HK)公布，公司与百时美施贵宝公司(以下简称“BMS“)达成全球战略合作及许可协议，共同推进13款涵盖肿瘤学、血液学及免疫学的早期项目，以加速创新药物研发，惠及全球患者。本次合作协议包含4项恒瑞肿瘤学及血液学项目、4项BMS免疫学项目，
恒瑞医药,其他,,jrj,大行评级丨花旗：中国医疗保健行业基本面持续改善，首选恒瑞医药、药明康德等,格隆汇,2026-05-12,https://finance.jrj.com.cn/2026/05/12102657068992.shtml,,花旗发表研报指，过去一个财年及首季业绩季证实，中国医疗保健行业基本面持续改善，由创新药及CDMO(合约开发与制造商)带动，国内医疗科技、服务及药房行业已见底。创新正获得回报，授权交易预付款及里程碑付款带动盈利，创新药销售加速，而CXO(医药研发及制造外包
恒瑞医药,其他,,jrj,恒瑞医药(01276.HK)HRS-3005片获药物临床试验批准通知书,财华网,2026-05-09,https://finance.jrj.com.cn/2026/05/09144557053502.shtml,,【财华社讯】恒瑞医药(01276.HK)公布，公司收到国家药监局核准签发关于HRS-3005片的《药物临床试验批准通知书》，将于近期开展临床试验。HRS-3005片是公司自主研发的创新型抗肿瘤药物，拟用于B细胞恶性肿瘤的治疗。经查询，目前国内外暂无同类药物获批上市。截至目前，
恒瑞医药,其他,,jrj,恒瑞医药(01276.HK)5款新药获临床试验批准,格隆汇,2026-05-08,https://finance.jrj.com.cn/2026/05/08221957046076.shtml,,格隆汇5月8日丨恒瑞医药(01276.HK)公告，近日，江苏恒瑞医药股份有限公司及子公司苏州盛迪亚生物医药有限公司、上海盛迪医药有限公司、上海恒瑞医药有限公司收到国家药品监督管理局核准签发关于HRS-6093片、注射用SHR-9839(sc)、注射用SHR-1826、阿得贝利单抗注射液、SHR-8068
恒瑞医药,其他,,jrj,恒瑞医药(01276)：HRS-6093片等获得药物临床试验批准通知书,智通财经网,2026-05-08,https://finance.jrj.com.cn/2026/05/08221357046212.shtml,,智通财经APP讯，恒瑞医药(01276)发布公告，近日，江苏恒瑞医药股份有限公司(以下简称“公司”)及子公司苏州盛迪亚生物医药有限公司、上海盛迪医药有限公司、上海恒瑞医药有限公司收到国家药品监督管理局(以下简称“国家药监局”)核准签发关于HRS-6093片、注射用SHR-9839
恒瑞医药,其他,,jrj,恒瑞医药(01276)：HRS-3005片获国家药监局核准签发《药物临床试验批准通知书》,智通财经网,2026-05-08,https://finance.jrj.com.cn/2026/05/08221157046213.shtml,,智通财经APP讯，恒瑞医药(01276)发布公告，近日，江苏恒瑞医药股份有限公司(以下简称“公司”)收到国家药品监督管理局(以下简称“国家药监局”)核准签发关于HRS-3005片的《药物临床试验批准通知书》，将于近期开展临床试验。HRS-3005片是公司自主研发的创新型抗肿瘤药物
恒瑞医药,其他,,jrj,恒瑞医药(01276)截至4月底累计回购1205.62万股A股,智通财经网,2026-05-07,https://finance.jrj.com.cn/2026/05/07171357022784.shtml,,智通财经APP讯，恒瑞医药(01276)发布公告，2026年4月，公司通过上海证券交易所交易系统以集中竞价交易方式回购股份10.88万股A股股份，已回购股份占公司总股本的比例为0.002%，购买的最高价为人民币55.99元/股，最低价为人民币55.69元/股，已支付的总金额为人民币607.27万元(不
恒瑞医药,其他,,jrj,恒瑞医药(600276.SH)：已回购1205.62万股股份,格隆汇,2026-05-07,https://finance.jrj.com.cn/2026/05/07163557022092.shtml,,"格隆汇5月7日丨恒瑞医药(600276.SH)公布，截至2026年4月30日，公司本次股份回购方案累计通过上海证券交易所交易系统以集中竞价交易方式回购股份1,205.62万股，已回购股份占公司总股本的比例为0.18%，购买的最高价为人民币70.00元/股，最低价为人民币53.52元/股，已支付的总金"
