source,pub_time,title,content,url
东方财富-证券时报网,2026-06-05 14:43:00,立讯精密成交额超150亿元,数据宝统计，截至14:27，立讯精密成交额150.22亿元，超150亿元。最新股价下跌7.88%，换手率2.91%。上一交易日该股全天成交额为108.24亿元。（数据宝）　　注：本文系新闻报道，不构成投资建议，股市有风险，投资需谨慎。 （文章来源：证券时报网）,http://finance.eastmoney.com/a/202606053761907574.html
东方财富-证券时报网,2026-06-03 11:00:00,立讯精密成交额超100亿元,数据宝统计，截至10:27，立讯精密成交额100.17亿元，超100亿元。最新股价上涨3.66%，换手率1.80%。上一交易日该股全天成交额为167.48亿元。（数据宝）　　注：本文系新闻报道，不构成投资建议，股市有风险，投资需谨慎。 （文章来源：证券时报网）,http://finance.eastmoney.com/a/202606033758756530.html
东方财富-证券时报网,2026-06-03 14:11:00,立讯精密成交额超上一日全天,数据宝统计，截至14:01，立讯精密成交额167.57亿元，超上一日全天。最新股价上涨1.49%，换手率3.01%。上一交易日该股全天成交额为167.48亿元。（数据宝）　　注：本文系新闻报道，不构成投资建议，股市有风险，投资需谨慎。 （文章来源：证券时报网）,http://finance.eastmoney.com/a/202606033758892546.html
东方财富-东方财富Choice数据,2026-06-03 16:38:26,大宗交易：立讯精密成交5236.00万元（6-3）,2026年6月3日，立讯精密发生1笔大宗交易，共成交70.00万股，成交金额5236.00万元。该笔大宗交易成交均价74.80元，较该股当日收盘价74.80元持平。其中，机构席位买入70.00万股，成交额5236.00万元。免责声明：本文基于AI生产，仅供参考，不构成任何投资建议，据此操作风险自担。东方财富发布此内容旨在传播更多信息，与本平台立场无关。东方财富力求但不保证数据的完全准确，如有错漏请以中国证监会指定上市公司信息披露媒体为准，东方财富不对因该资料全部或部分内容而引致的盈亏承担任何责任。用户个人对服务的使用承担风险，东方财富对此不作任何类型的担保。,http://stock.eastmoney.com/a/202606033759045222.html
东方财富-证券时报网,2026-06-03 17:12:00,立讯精密大宗交易成交5236.00万元，买卖双方均为机构专用席位,立讯精密6月3日大宗交易平台出现一笔成交，成交量70.00万股，成交金额5236.00万元，大宗交易成交价为74.80元。该笔交易的买卖双方均为机构专用席位。　　进一步统计，近3个月内该股累计发生21笔大宗交易，合计成交金额为18.83亿元。　　证券时报·数据宝统计显示，立讯精密今日收盘价为74.80元，上涨1.08%，日换手率为3.63%，成交额为200.74亿元，全天主力资金净流入3.56亿元，近5日该股累计上涨4.48%，近5日资金合计净流入26.24亿元。　　两融数据显示，该股最新融资余额为68.56亿元，近5日减少2.07亿元，降幅为2.94%。（数据宝）　　6月3日立讯精密大宗交易一览 成交量（万股）成交金额（万元）成交价格（元）相对当日收盘折溢价（%） 买方营业部卖方营业部70.005236.0074.800.00机构专用机构专用　　注：本文系新闻报道，不构成投资建议，股市有风险，投资需谨慎。 （文章来源：证券时报网）,http://finance.eastmoney.com/a/202606033759092675.html
东方财富-财中社,2026-06-02 19:04:00,立讯精密已回购990万股 金额达5亿元,6月2日，立讯精密（002475）发布公告，截至2026年5月31日，公司已回购990万股，占总股本的0.14%，回购成交价格区间为50.14元/股至50.91元/股，成交总金额为5亿元。　　2026年一季度，立讯精密实现收入838.88亿元，归母净利润36.60亿元。（文章来源：财中社）,http://finance.eastmoney.com/a/202606023757686629.html
东方财富-东方财富Choice数据,2026-06-02 16:32:51,大宗交易：立讯精密成交1567.32万元（6-2）,2026年6月2日，立讯精密发生2笔大宗交易，共成交21.18万股，成交金额1567.32万元。2笔大宗交易成交均价74.00元，较该股当日收盘价74.00元持平。其中，机构席位买入21.18万股，成交额1567.32万元。免责声明：本文基于AI生产，仅供参考，不构成任何投资建议，据此操作风险自担。东方财富发布此内容旨在传播更多信息，与本平台立场无关。东方财富力求但不保证数据的完全准确，如有错漏请以中国证监会指定上市公司信息披露媒体为准，东方财富不对因该资料全部或部分内容而引致的盈亏承担任何责任。用户个人对服务的使用承担风险，东方财富对此不作任何类型的担保。,http://stock.eastmoney.com/a/202606023757572483.html
东方财富-证券时报网,2026-06-02 17:37:00,立讯精密发生2笔大宗交易 合计成交1567.32万元,立讯精密6月2日大宗交易平台共发生2笔成交，合计成交量21.18万股，成交金额1567.32万元。成交价格均为74.00元。从参与大宗交易营业部来看，机构专用席位共出现在2笔成交的买方或卖方营业部中，合计成交金额为1567.32万元，净卖出567.58万元。　　进一步统计，近3个月内该股累计发生20笔大宗交易，合计成交金额为18.31亿元。　　证券时报·数据宝统计显示，立讯精密今日收盘价为74.00元，上涨4.65%，日换手率为3.20%，成交额为167.48亿元，全天主力资金净流入7.61亿元，近5日该股累计上涨2.14%，近5日资金合计净流入16.40亿元。　　两融数据显示，该股最新融资余额为68.78亿元，近5日减少3.05亿元，降幅为4.25%。　　6月2日立讯精密大宗交易一览成交量（万股）成交金额（万元）成交价格（元）相对当日收盘折溢价（%） 买方营业部卖方营业部13.51999.7474.000.00机构专用机构专用7.67567.5874.000.00中信证券股份有限公司上海分公司机构专用（文章来源：证券时报网）,http://finance.eastmoney.com/a/202606023757641677.html
东方财富-证券日报,2026-06-02 20:39:00,立讯精密：截至2026年5月31日累计回购公司股份9900600股,证券日报网讯 6月2日，立讯精密发布公告称，截至2026年5月31日，公司通过股份回购专用证券账户以集中竞价方式回购公司股份9，900，600股，占公司总股本的比例为0.14%，最高成交价50.91元/股，最低成交价50.14元/股，成交总金额499，946，537.83元（不含交易费用）。（文章来源：证券日报）,http://finance.eastmoney.com/a/202606023757804156.html
东方财富-南方都市报,2026-06-01 09:33:08,立讯精密收购闻泰科技部分业务未依法申报，被罚90万元,5月27日，南都湾财社记者从国家市场监督管理总局获悉，5月21日，市场监管总局对立讯精密工业股份有限公司（以下简称“立讯精密”）收购闻泰科技股份有限公司（以下简称“闻泰科技”）部分业务违法实施经营者集中案作出行政处罚决定，并于今日正式公布行政处罚决定书。经调查认定，本次交易构成违法实施经营者集中，但不具有排除、限制竞争效果，综合考虑从轻情节后，市场监管总局最终决定对立讯精密处以90万元罚款。 　　截至发稿，立讯精密尚未就本次行政处罚公开回应。　　根据行政处罚决定书披露内容，本次交易标的为闻泰科技旗下三家全资子公司——嘉兴永瑞电子科技有限公司、上海闻泰电子科技有限公司、上海闻泰信息科技有限公司的全部股权，对应业务为闻泰科技部分电子产品代工服务。2025年1月23日，立讯精密通过全资子公司与闻泰科技下属企业签署股权转让协议，并于1月26日至27日先后完成三家目标公司的股权变更登记，立讯精密间接取得目标业务100%股权并实现单独控制。 　　市场监管总局经核查认定，本次交易符合《中华人民共和国反垄断法》第二十五条对经营者集中的定义，且交易双方2024年营业额已达到国务院规定的申报标准，属于应当事先申报的情形。根据《反垄断法》第二十六条规定，“经营者集中达到国务院规定的申报标准的，经营者应当事先向国务院反垄断执法机构申报，未申报的不得实施集中”。立讯精密在完成股权交割、实施经营者集中前，未依法向反垄断执法机构申报，违反上述法律规定，已构成违法实施经营者集中。　　针对本次交易对市场竞争的影响，市场监管总局依据《反垄断法》第三十三条开展竞争评估，最终认定本项集中不会产生排除、限制竞争的效果。据了解，本次收购涉及的闻泰科技电子产品代工业务，主要覆盖安卓系手机、平板、笔记本电脑等智能终端的ODM研发与制造，本次交易本质为产业链正常整合，并未改变市场竞争结构，也不会产生限制竞争的影响。　　在行政处罚裁量环节，市场监管总局依据《反垄断法》第五十八条、第五十九条以及《违法实施经营者集中行政处罚裁量权基准（试行）》相关规定，综合考虑了违法行为的性质、程度、持续时间和整改情况。查明显示，立讯精密在市场监管总局掌握该违法事实前，已于2025年2月17日主动提交说明材料，报告了本次交易涉嫌违法实施经营者集中的情况，符合从轻处罚的情形；同时，立讯精密在发现程序问题后积极整改，及时完善了企业内部反垄断合规管理制度并推动落地实施。基于上述情节，市场监管总局最终作出对立讯精密罚款90万元的行政处罚决定。　　公开资料显示，立讯精密是国内消费电子精密制造龙头企业，主营业务覆盖消费电子、通信及数据中心、汽车、医疗等领域的零组件、模组及系统集成业务，长期为苹果公司提供核心零部件与组装服务，是苹果供应链的核心供应商。本次收购完成后，立讯精密将快速获得成熟的安卓系智能终端整机设计制造能力，补齐非苹果产业链业务短板，推动形成苹果、安卓双客户体系的均衡布局，进一步降低客户集中风险。　　作为国内精密制造龙头企业，本次被罚也引发市场对公司近期业绩表现的关注。根据立讯精密今年4月披露的2025年年度报告，公司全年业绩实现稳健高增，核心财务指标均创下历史新高。2025年，立讯精密全年实现营业收入3323.44亿元，同比增长23.64%，连续三年保持两位数增速；归母净利润达到166亿元，同比增长24.20%，增速略高于营收增速，盈利水平稳步提升；扣非归母净利润141.69亿元，同比增长21.16%。　　从业务结构来看，立讯精密近年来推进多元化战略转型成效显著，已形成消费电子为基本盘，汽车电子、通信及数据中心为新增长极的业务布局。2025年，公司传统优势板块消费电子实现营收2642.66亿元，同比增长13.37%，占总营收比重约79.5%，依然是业绩的核心压舱石。受益于全球端侧AI硬件发展的产业机遇，AI手机、AIPC、AR/VR设备对高端精密组件的需求持续升级，立讯凭借SiP系统级封装等技术优势，持续提升高端产品渗透率，本次收购闻泰科技ODM业务后，进一步补齐了安卓智能终端整机设计制造能力，客户结构进一步优化。　　新兴业务板块的爆发式增长成为本次年报最大亮点，其中汽车电子增速最为迅猛，全年实现营收392.55亿元，同比大增185.34%，营收占比提升至11.81%。目前，立讯已完成从零部件供应商向系统解决方案提供商的转型，800V高压连接器、智驾域控制器、智能座舱等核心产品实现大批量产，通过收购整合德国莱尼集团，公司获得了全球主流车企Tier1准入资质，搭建起覆盖欧洲、美洲、北非的属地化制造网络，全球化汽车业务布局已全面落地。此外，通信及数据中心业务也保持高速增长，2025年实现营收245.68亿元，同比增长33.81%，占总营收比重达到7.39%。　　在年报披露后不久，立讯也公布了2026年第一季度财报，延续了稳健增长的态势。财报显示，2026年一季度公司实现营业收入838.88亿元，同比大幅增长35.77%，营收规模实现快速扩张；预计归母净利润区间为36.52亿元—37.13亿元，同比增长20%—22%，业绩增长符合市场预期。对于营收增长，公司表示主要源于销售规模扩大以及本次收购闻泰科技部分业务的合并贡献，显示公司在各核心领域的布局持续落地，全球化交付能力的韧性凸显。　　业内分析认为，本次行政处罚仅针对收购中的程序违法行为，不影响本次交易的整体合法性，也不会对公司正常经营产生实质性影响。目前立讯精密已完成近30个国家超100个生产基地的全球化布局，构建了对冲地缘风险的网状供应链体系，随着汽车电子、AI相关硬件业务的持续放量，公司从单一消费电子代工向全球精密制造平台的转型已逐步进入收获期，长期成长空间有望进一步打开。（文章来源：南方都市报）,http://finance.eastmoney.com/a/202606013755380749.html
